	Total_counts	X	Y	Annotation
Cell_1053	435	8195.403888865609	-4927.949964380003	eL4
Cell_1054	766	3535.824519680411	-4894.466825214439	eL6-2
Cell_1055	231	13126.982982736705	-4913.066551851396	eL6-2
Cell_1056	500	4356.1266334930015	-4942.568804352881	eL6-2
Cell_1057	238	677.3316227521669	-4945.222691793523	Astro-2
Cell_1058	704	11435.860551867903	-4935.042816391464	SST
Cell_1059	888	6305.0910715693735	-4947.554445817016	eL6-1
Cell_1060	225	5356.608802938138	-4949.992482497418	Micro
Cell_1062	419	213.60435139252374	-4960.11417522753	PVALB
Cell_1063	740	2768.6514756120705	-4948.617266084646	eL6-2
Cell_1064	203	12374.414638694641	-4997.381724941725	Astro-2
Cell_1065	301	10335.23159303882	-4980.541900937082	eL2/3
Cell_1066	541	10894.339275918815	-4983.923325409886	eL6-1
Cell_1067	246	1207.1470715600306	-4989.7007145177	Astro-1
Cell_1068	458	5059.993476959904	-4995.468282465589	eL6-1
Cell_1069	402	1619.6447133087852	-5004.534876380852	Oligo
Cell_1070	280	5871.027391357874	-4999.140834666995	Endo
Cell_1071	502	11721.765315996372	-5009.525703054128	eL2/3
Cell_1072	387	2333.3296442980345	-5022.1111522374795	Oligo
Cell_1073	456	4758.513978686405	-5013.326882775225	eL6-2
Cell_1074	512	8392.493326862412	-5039.310846881825	SST
Cell_1075	419	4546.445976761864	-5051.36838961885	eL6-1
Cell_1076	291	7628.100344208322	-5065.346789883269	eL5
Cell_1077	683	3732.9930058939094	-5057.862750491159	eL6-2
Cell_1079	1063	6323.003485509544	-5099.724595997757	Oligo
Cell_1080	260	8125.53948953255	-5116.642902208202	Endo
Cell_1081	240	11455.950606443115	-5065.297458975907	Endo
Cell_1084	675	5099.358392434988	-5128.50190943808	Astro-1
Cell_1085	286	8956.435847409766	-5116.178312881861	Astro-2
Cell_1087	1058	9585.862365525107	-5115.956166579329	eL2/3
Cell_1088	406	1640.1827097163546	-5144.72948098974	Oligo
Cell_1090	781	3971.618438234526	-5120.008520501437	eL6-2
Cell_1091	750	12029.276634951675	-5111.778308450227	eL2/3
Cell_1092	539	5963.200512552798	-5139.954629585686	SST
Cell_1093	1184	7139.688810649671	-5151.383275082237	Astro-1
Cell_1094	418	4724.305120873408	-5164.537197816479	eL6-1
Cell_1095	436	8335.73856025479	-5158.914430237461	Oligo
Cell_1096	455	4308.793917652728	-5153.413449697489	eL6-1
Cell_1097	267	2199.362810707457	-5191.5720431576065	Oligo
Cell_1098	455	4145.0833217350955	-5178.3867780097435	eL6-2
Cell_1099	833	7461.3438782824	-5179.9703850915475	eL5
Cell_1100	421	8010.72662406155	-5189.958615126885	eL4
Cell_1101	762	11876.145163968453	-5195.253217102531	eL2/3
Cell_1102	649	10177.063570255688	-5221.912620220502	eL2/3
Cell_1103	578	3092.626317686278	-5230.781286602397	eL6-2
Cell_1104	369	3217.1521813224267	-5214.259372869802	eL6-2
Cell_1105	458	11720.69036724625	-5214.526041459436	eL2/3
Cell_1106	387	6841.927597374925	-5218.465396744226	Micro
Cell_1107	435	12031.643153974852	-5240.458956230774	eL4
Cell_1108	582	4275.467182076365	-5251.468076154412	eL6-2
Cell_1109	464	5682.662514906586	-5220.318316328784	eL6-1
Cell_1110	266	11304.753616748138	-5245.656001580013	Astro-2
Cell_1111	348	5943.833992094862	-5245.8474773308535	Micro
Cell_1113	259	2704.0897671272587	-5263.918397912842	Endo
Cell_1114	614	10530.676176162744	-5228.978127264431	eL2/3
Cell_1115	401	8413.20220013402	-5256.58616260889	eL4
Cell_1116	319	4893.315022815023	-5254.8907218907225	eL6-2
Cell_1117	992	9597.729129723091	-5262.33314009003	eL6-1
Cell_1118	901	9870.757600346209	-5254.658768798009	eL2/3
Cell_1119	584	3425.7313875345894	-5267.68922124127	eL6-2
Cell_1120	479	7917.066073125595	-5279.242484869706	eL4
Cell_1121	377	2121.3055189301185	-5265.150813084699	Oligo
Cell_1122	472	4055.877449751892	-5293.611448047717	eL6-1
Cell_1123	447	8082.411744466109	-5290.478839316435	Astro-2
Cell_1124	716	804.0709484690068	-5294.890851381628	Reln
Cell_1125	997	13793.778969011602	-5269.990541929798	Astro-2
Cell_1126	418	1120.0892318679576	-5312.119980955404	Oligo
Cell_1128	689	10297.424485524938	-5293.9878238259835	eL2/3
Cell_1129	312	8154.213289439487	-5333.981373992896	Astro-2
Cell_1130	883	9093.854259660755	-5332.888311439868	eL4
Cell_1132	803	444.98084314196495	-5297.057500600528	eL5
Cell_1133	369	5550.5369000942965	-5340.317832150479	PVALB
Cell_1134	332	4877.651652331371	-5345.228610230874	eL2/3
Cell_1135	319	5060.381639782185	-5358.771653138806	eL5
Cell_1136	499	1614.133688591544	-5340.904041386285	Oligo
Cell_1137	614	8600.627329473493	-5351.967523068573	eL4
Cell_1138	603	3728.360371432473	-5373.589717328963	eL6-1
Cell_1140	550	11593.859959486834	-5375.847467927077	eL2/3
Cell_1142	362	7877.095031383821	-5391.0072740071555	eL4
Cell_1143	356	11238.421070234112	-5392.2254180602	eL2/3
Cell_1145	294	8315.636265041574	-5375.57790631617	eL4
Cell_1146	465	9511.050434324825	-5386.732087391419	eL4
Cell_1147	397	3148.1538151891937	-5390.8480633330355	eL6-2
Cell_1148	490	6459.446216116768	-5421.06762336972	eL5
Cell_1149	561	10049.189301223843	-5438.163343861034	Astro-2
Cell_1150	646	9283.805458744491	-5408.2338862061715	eL2/3
Cell_1152	716	3564.296697291574	-5417.760306021381	eL6-2
Cell_1153	606	8145.936413756892	-5431.765135206091	eL4
Cell_1154	273	6831.566086910269	-5442.322323280677	Astro-2
Cell_1155	598	747.5497277586293	-5438.39177781108	SST
Cell_1156	570	11000.716587112172	-5455.11136459357	eL2/3
Cell_1157	572	11814.213646109221	-5446.952894438138	eL2/3
Cell_1158	385	1299.0535375380678	-5447.8389460210965	Astro-2
Cell_1159	529	3324.231055041908	-5469.6034303983415	eL6-2
Cell_1160	609	7145.499202950646	-5473.07451630044	eL4
Cell_1162	844	905.7540484475377	-5478.052194860814	Reln
Cell_1163	755	7682.922458709349	-5474.165911799762	eL4
Cell_1164	436	9543.265104405316	-5484.2241277737785	eL4
Cell_1165	614	6031.044145717418	-5481.628111927872	eL5
Cell_1166	580	8603.584568886861	-5489.351220346715	eL4
Cell_1168	341	9179.735102861196	-5478.307696855049	Astro-2
Cell_1169	327	1933.5843869681546	-5499.658727244111	Oligo
Cell_1170	451	8738.365442601766	-5494.4111027353	eL4
Cell_1172	329	10718.030602863271	-5500.080294207784	eL6-1
Cell_1174	715	2701.344576479965	-5519.12223751902	eL6-2
Cell_1175	475	7291.18613497457	-5519.5713553019605	Reln
Cell_1177	461	9411.371399777225	-5513.372513658303	Astro-2
Cell_1178	465	2592.866808688001	-5536.65127587644	Astro-2
Cell_1179	538	1587.4918566775243	-5539.823522568637	Oligo
Cell_1181	286	3459.556996685401	-5574.667002930298	eL6-2
Cell_1182	381	8510.198335644938	-5579.54745393303	eL4
Cell_1183	381	9683.665042752038	-5574.620202823623	Astro-2
Cell_1184	350	4777.129033764536	-5589.928127772849	eL6-1
Cell_1185	250	298.6749825459623	-5625.01303234815	Oligo
Cell_1186	444	6192.011547344111	-5576.930846659985	eL5
Cell_1187	341	9559.260784661814	-5614.15634061187	PVALB
Cell_1188	841	11300.845337657163	-5614.324486544917	eL2/3
Cell_1189	784	3688.9044627034004	-5604.143160947318	eL6-2
Cell_1190	309	8697.967531380753	-5607.877322175733	eL2/3
Cell_1191	280	12057.90221468578	-5590.103643183804	eL6-1
Cell_1192	273	3955.135167384819	-5622.570699370235	eL6-1
Cell_1193	656	10629.779330674528	-5632.873070920756	eL2/3
Cell_1194	528	13802.695726953063	-5619.669010854609	Smc
Cell_1195	252	1960.8386028882599	-5634.0722064961865	Oligo
Cell_1196	515	10352.196037125235	-5638.210142272699	eL2/3
Cell_1198	240	3234.826116586287	-5639.844202138814	Astro-1
Cell_1200	827	9963.44199369808	-5643.9757949011755	eL2/3
Cell_1201	1036	5017.5945530990175	-5604.583475056689	Astro-1
Cell_1202	255	11637.499146757678	-5657.500752860871	eL6-2
Cell_1203	409	10205.459869744278	-5665.055167129585	eL4
Cell_1204	257	2165.139392808842	-5702.730308259105	Oligo
Cell_1205	438	10093.028006905812	-5700.6590255131405	eL2/3
Cell_1206	388	9259.977206616592	-5699.3842313202795	eL6-2
Cell_1207	474	9005.417952867801	-5708.065132435953	eL2/3
Cell_1208	296	4352.665683337174	-5707.539940078359	eL6-1
Cell_1210	560	7465.7139542355335	-5717.676757219862	eL4
Cell_1212	382	656.0813779331004	-5735.392638315255	Reln
Cell_1213	734	9855.723322494829	-5735.016891178581	eL2/3
Cell_1214	517	8515.455210772834	-5723.233265027322	eL4
Cell_1215	257	8260.456108248663	-5736.30861462898	eL4
Cell_1216	531	12246.169925282986	-5748.320791016062	eL2/3
Cell_1217	520	10863.327508532424	-5764.087986348122	Reln
Cell_1218	329	831.4332618600911	-5788.600375234521	Micro
Cell_1219	287	1346.553744584279	-5776.78667216835	Astro-1
Cell_1220	692	9139.473331509847	-5760.661378555798	eL2/3
Cell_1221	727	4914.397938401429	-5773.656220125525	eL6-1
Cell_1222	728	11656.616071126737	-5789.804401473918	eL2/3
Cell_1223	751	12113.173948305652	-5783.9962269473535	eL2/3
Cell_1224	568	8639.328248393584	-5780.988374944818	eL4
Cell_1225	266	1779.7834044570886	-5791.636794689426	Oligo
Cell_1227	440	6243.206118018551	-5790.509255970002	eL4
Cell_1228	230	1965.5069132009216	-5782.0078459343795	Oligo
Cell_1229	308	4747.846313107183	-5796.732441471572	eL5
Cell_1230	456	7799.224487053131	-5792.33626019174	Oligo
Cell_1231	330	5929.976056593507	-5830.415472519499	Astro-1
Cell_1232	302	11223.38649215325	-5809.536438147276	eL2/3
Cell_1233	552	11341.05743272664	-5799.41278411565	Micro
Cell_1234	349	2459.188761668276	-5795.196440888399	Oligo
Cell_1235	584	6584.125699648989	-5804.807655820131	PVALB
Cell_1236	442	242.42662148169063	-5865.237064231698	Micro
Cell_1237	299	3686.6097111553786	-5813.298356573705	eL6-1
Cell_1238	251	8047.409523349592	-5787.342009948326	Endo
Cell_1239	208	1207.8867013653164	-5801.058912272762	Oligo
Cell_1240	902	3540.793528880239	-5818.417216931953	PVALB
Cell_1241	390	4461.304862902455	-5813.480462405655	eL6-2
Cell_1242	434	13711.940806173216	-5804.2790130977755	Smc
Cell_1243	650	5278.4559113218265	-5862.599712864345	eL6-1
Cell_1244	486	5634.785060026678	-5855.748110271232	eL5
Cell_1245	288	12376.262214234963	-5848.988548501693	Micro
Cell_1246	721	9818.203315455876	-5853.133187063221	eL2/3
Cell_1247	552	3352.370096745822	-5875.663236587511	eL6-2
Cell_1248	324	3820.3291761602113	-5872.275272814486	eL5
Cell_1251	216	9341.546272493571	-5889.062467866324	eL6-1
Cell_1252	386	13697.795579682048	-5906.862659945717	Smc
Cell_1253	391	8589.662454424926	-5910.105485581704	Endo
Cell_1254	337	2174.812101910828	-5900.265752082312	Oligo
Cell_1255	330	6607.5504654859205	-5918.408094913714	PVALB
Cell_1256	365	11741.895863495349	-5903.161220268873	Astro-2
Cell_1257	298	1948.1768525402729	-5946.402676579925	Oligo
Cell_1258	362	13509.942565832906	-5927.290104892541	Smc
Cell_1259	447	3958.8804727019015	-5923.481336124193	eL6-2
Cell_1260	453	4262.054931059306	-5935.26989312808	eL6-2
Cell_1261	436	5491.268404225181	-5948.412319397789	eL5
Cell_1262	611	10318.9029732809	-5931.605902458745	eL2/3
Cell_1263	395	728.0904092013012	-5942.469458827843	Astro-2
Cell_1264	795	7866.524504223833	-5960.9370319333775	eL4
Cell_1265	867	9968.631235431236	-5946.014085914086	eL2/3
Cell_1266	384	1587.0369261477047	-5943.947723600419	Oligo
Cell_1267	538	10509.73285111513	-5955.744062688365	eL2/3
Cell_1268	232	13026.756858710562	-5966.52737768633	Endo
Cell_1269	798	11344.634652324241	-5970.762133435779	eL2/3
Cell_1270	202	3756.84887168506	-5980.941195849118	eL4
Cell_1271	699	2757.143534052199	-5939.0247419511825	eL6-2
Cell_1272	535	11623.464986297417	-5977.463688158085	Astro-2
Cell_1273	409	10784.391184387618	-6007.74932705249	Astro-2
Cell_1274	621	8401.201051508084	-5991.895363086532	eL4
Cell_1275	920	9088.742380478088	-6026.205677290836	eL2/3
Cell_1276	729	11074.601122010845	-6013.705017707713	eL2/3
Cell_1277	639	12101.786743623159	-6002.505306274436	eL2/3
Cell_1278	465	1700.5145345168482	-6002.721214925749	Oligo
Cell_1279	783	3038.9622746961018	-5991.748567835685	eL6-2
Cell_1280	665	8872.47436321535	-6012.211710221634	eL4
Cell_1281	497	13714.640208717004	-6003.008839779006	Smc
Cell_1282	335	510.3522469570047	-6014.825195538483	Astro-2
Cell_1283	327	4090.088669663184	-5992.087035199345	eL6-2
Cell_1284	410	7603.242514855281	-6005.138278704236	eL4
Cell_1285	398	12332.667487978379	-6011.356078369035	Endo
Cell_1286	358	13489.007089480745	-6025.105064827234	Astro-2
Cell_1287	326	13601.930336567617	-6029.965509399636	Astro-2
Cell_1288	256	4808.104825675364	-6039.165088894019	eL5
Cell_1289	399	4197.609385136596	-6029.340661717004	eL6-2
Cell_1290	511	2928.3533297384743	-6017.853329738474	eL6-2
Cell_1291	485	8600.730709845995	-6060.772002058672	SST
Cell_1292	389	2611.798280279672	-6074.539931384897	Micro
Cell_1293	607	9331.849741167924	-6078.611252383979	eL4
Cell_1294	273	3797.379074295045	-6078.584060792564	eL6-1
Cell_1295	507	9747.094809637121	-6058.6157792980375	eL2/3
Cell_1297	450	3456.322411115977	-6105.014213480909	eL6-2
Cell_1299	457	4038.808167621616	-6116.88383327716	eL6-2
Cell_1300	292	9219.449417689644	-6119.052187598363	eL4
Cell_1301	406	12775.4841592499	-6113.203127861408	Endo
Cell_1302	352	13723.241451941303	-6113.4188724285605	Smc
Cell_1303	307	2415.870105986546	-6132.389827227411	Oligo
Cell_1304	607	6421.831022163014	-6084.851913527917	Astro-2
Cell_1305	708	7309.338464594301	-6144.7823021154045	eL4
Cell_1306	560	12071.521531100478	-6142.376184887605	eL2/3
Cell_1307	496	1650.6172652422085	-6145.610092438248	Oligo
Cell_1308	605	5566.1154264972765	-6146.1120790481955	eL5
Cell_1309	686	3142.2653541357113	-6162.606550272412	eL6-2
Cell_1310	676	6147.652068478772	-6169.181150240688	eL5
Cell_1311	312	12473.65973163163	-6179.267974998907	Astro-2
Cell_1312	453	3917.3426840098214	-6173.243796688083	eL6-2
Cell_1314	302	5806.1593382673045	-6190.726848684621	Astro-2
Cell_1316	304	13746.189608569426	-6188.828911802983	Smc
Cell_1317	344	2967.646446639364	-6199.95205974464	eL6-1
Cell_1318	888	3630.0739637703414	-6201.601350936446	PVALB
Cell_1319	346	1812.1411301185346	-6159.401198814655	Oligo
Cell_1320	379	2132.390265189661	-6168.302551191675	Oligo
Cell_1321	372	9995.779348869686	-6184.006502574845	eL2/3
Cell_1322	477	655.3741228070176	-6193.480007309941	Oligo
Cell_1323	276	1537.4125779692624	-6210.292264163078	Oligo
Cell_1324	215	7880.187838130275	-6218.506600302965	eL4
Cell_1325	377	5908.531053059565	-6193.965795893474	Astro-2
Cell_1326	455	8226.1880489335	-6225.021748222502	eL4
Cell_1327	712	10414.008381521668	-6227.125690338509	eL6-1
Cell_1329	956	4658.963596736667	-6195.40885930551	Reln
Cell_1330	515	4243.3290677283285	-6237.123039006588	eL6-2
Cell_1331	782	6662.451994450224	-6257.734131113423	Reln
Cell_1332	515	11194.219088937094	-6273.643806663329	eL2/3
Cell_1333	256	1282.916712937257	-6257.342726263188	Oligo
Cell_1334	491	8347.204757933547	-6261.082693236185	eL4
Cell_1335	450	12016.099027177945	-6287.276752606553	eL2/3
Cell_1336	312	7007.245987075256	-6252.835800152873	eL6-2
Cell_1337	616	12196.351247828146	-6260.0291423155895	eL2/3
Cell_1338	479	10858.919222289036	-6282.746843054721	eL2/3
Cell_1340	278	13749.63606286187	-6300.75121771896	Smc
Cell_1342	744	7434.681045296167	-6279.29156794425	eL4
Cell_1346	742	6079.556228652446	-6325.804536959464	Reln
Cell_1347	289	1509.5075415753513	-6315.4229083408545	Oligo
Cell_1348	779	9860.083656055136	-6320.769510994422	eL2/3
Cell_1349	375	10155.231620179064	-6333.6755337465565	eL4
Cell_1350	514	11290.694093628335	-6321.137403855284	eL2/3
Cell_1351	658	11700.303223997757	-6336.213484721055	eL2/3
Cell_1352	211	885.3753868440114	-6328.645749654311	Oligo
Cell_1353	645	7046.3818080213205	-6344.315565490264	eL4
Cell_1354	692	9382.737257928196	-6308.367985889096	eL6-2
Cell_1355	532	5910.400401313389	-6341.235680408609	eL5
Cell_1356	204	3881.968621477533	-6329.439603960395	eL6-1
Cell_1357	334	7745.022766342982	-6335.1546717465035	eL4
Cell_1358	221	10564.993858079904	-6321.672450805008	SST
Cell_1359	288	11435.301751549448	-6350.473834545945	eL2/3
Cell_1360	204	1210.5513046890328	-6352.122228762017	Oligo
Cell_1361	544	3362.832090622312	-6353.474906796673	eL6-2
Cell_1362	207	9674.209096036508	-6362.788904271138	Reln
Cell_1363	239	668.8180716296528	-6377.663121676573	Oligo
Cell_1364	263	4429.318072430592	-6379.089804543053	eL6-2
Cell_1365	719	6735.648859282479	-6365.706287008012	eL4
Cell_1366	653	12836.44514337064	-6347.7004329711635	Micro
Cell_1368	251	7618.382697947214	-6382.390322580644	eL2/3
Cell_1369	316	13539.365362827086	-6375.001996223361	Micro
Cell_1370	430	2614.5622121981023	-6387.177520909689	eL6-2
Cell_1371	400	3147.233611926813	-6382.532098486558	eL6-2
Cell_1373	224	1559.172307011723	-6403.563813315638	Oligo
Cell_1375	262	9018.155515908416	-6377.419664981662	Astro-2
Cell_1377	520	2412.40823432284	-6365.152338562045	Oligo
Cell_1378	513	7298.9990204573705	-6379.265719775459	eL4
Cell_1379	255	8542.13165625167	-6402.613790525023	Oligo
Cell_1380	334	4608.706895740174	-6380.48745587197	eL5
Cell_1381	550	12169.635764481674	-6401.176321118037	eL2/3
Cell_1382	591	3586.1322572988374	-6400.348920009495	eL6-2
Cell_1383	336	4005.0142024584948	-6404.411871296342	eL6-2
Cell_1385	392	9495.290017339608	-6404.294178845677	eL4
Cell_1387	334	13653.53175226802	-6418.719694263876	Smc
Cell_1390	575	10739.602698015031	-6435.0963191366345	Astro-2
